Abbr,Circuit Name,Locale,2026-2027 Tournaments,Calendar
BAMA,Alabama,AL,10,
ADFL,Allentown Diocese Forensics League,PA,3,
ACFL,American Classical Forensics League,US,2,
ADA,American Debate Association,US,4,
ADL,American Debate League,US,26,
APDA,American Parliamentary Debate Association,US,3,
AZ,Arizona,AZ,8,
BAUDL,Bay Area Urban Debate League,CA,4,
BQ,Big Questions,US,26,
BUDL,Birmingham Urban Debate League,AL,1,
BDL,Boston Debate League,MA,3,
BCFL,British Columbia Forensic League,BC/CA,1,
BrDL,Brooklyn Debate League,NY,2,
BQCFL,Brooklyn-Queens CFL,NY,8,
CAMT,California Mock Trial,CA,4,
CVFL,Capitol Valley Forensics League,CA,10,
CDL,Chicago Debate League,IL,5,
Citron,Citron Online District,NY,19,
CBSR,Citrus Belt Speech Region,CA,3,
CFL,Coast Forensic League,CA,16,
NPDA-NPTE,College NPDA-NPTE,US,2,
CARD,Collegiate Advocacy Research & Debate,US,3,
CFA,Collegiate Forensic Association,US,1,
CO,Colorado High School Speech & Debate,CO,7,
CT Debate,Connecticut Debate Association,CT,9,
CDNC,Coolidge Debate at the Luddy Schools,US,4,
CNTS,Coolidge National Tournament Series,,9,
CVUSD,CVUSD Elementary School Public Debate Program,CA,1,
DUDA,Dallas Urban Debate Alliance,TX,3,
DKC,DEBATE-Kansas City,MO,1,
DUDL,Detroit Urban Debate League,MI,4,
DR,Dominican Republic,DO,5,
Erie,Erie CFL,PA,1,
FGCCFL,Florida Gulf Coast Catholic Forensics League,FL,1,
GFCA,Georgia Forensics Coaches Association,GA,11,
GISA,Georgia Independent School Association,GA,2,
GDSDA,Golden Desert District,NV,22,
GGSA,Golden Gate Speech Association,CA,27,
HarCFL,Harrisburg CFL,PA,2,
HSL,Hawaii Speech League,HI,10,
HMSC,Houston Middle School Circuit,TX,5,
ID,Idaho,ID,21,
IL,Illinois,IL,4,
IVDL,Inland Valley Debate League,CA,1,
ISDC,Inter-School Debate China,CN,1,
Kansas,Kansas,KS,62,
KY,Kentucky,KY,8,
LIFA,Long Island Forensic Association,NY,23,
LAMDL,Los Angeles Metropolitan Debate League,CA,6,
LA,Louisiana,LA,5,
MDL,Manhattan Debate League,NY,1,
MSDL,Massachusetts Speech & Debate League,MA,3,
MDCSDL,Metropolitan DC Speech and Debate League,DC,2,
MDUDL,Miami Dade Urban Debate League,FL,3,
MIFA,Michigan Interscholastic Forensics Association,MI,2,
Middle School,Middle School,US,33,
MSPDP,Middle School Public Debate Program (CA),CA,1,
MWC,Midwest Circuit,NE,6,
MN,Minnesota Speech & Debate,MN,18,
MO HS,Missouri High School,MO,2,
